Date,Department,Month,Total_Hospital_Beds,Beds_Occupied,Daily_Admissions,Daily_Discharges,Emergency_Admissions,ICU_Admissions,Staff_Availability,Avg_Length_of_Stay,Occupancy_Rate,Day_of_Week,Season,Public_Holiday,Special_Event,Over_Capacity
2021-03-21,Cardiology,3.0,338.0,180.0,37.0,22.0,12.0,2.0,72.0,3.0,53.25,Sunday,Spring,False,False,0
2021-03-24,Cardiology,3.0,399.0,298.0,75.0,56.0,7.0,9.0,73.0,4.0,74.69,Wednesday,Spring,False,False,0
2021-03-28,Cardiology,3.0,368.0,307.0,64.0,43.0,12.0,9.0,85.0,8.0,83.42,Sunday,Spring,False,False,0
2021-03-29,Cardiology,3.0,350.0,359.0,51.0,36.0,13.0,2.0,72.0,10.0,102.57,Monday,Spring,False,False,1
2021-03-31,Cardiology,3.0,333.0,237.0,80.0,32.0,17.0,9.0,80.0,2.0,71.17,Wednesday,Spring,False,False,0
2021-04-02,Cardiology,4.0,378.0,387.0,51.0,22.0,25.0,2.0,73.0,6.0,102.38,Friday,Spring,False,False,1
2021-04-03,Cardiology,4.0,361.5,231.0,62.5,38.5,19.5,4.5,92.0,5.5,63.975,Saturday,Spring,False,False,0
2021-04-07,Cardiology,4.0,362.0,320.5,59.0,39.5,19.0,6.0,94.5,2.0,88.445,Wednesday,Spring,False,False,0
2021-04-09,Cardiology,4.0,373.5,277.5,68.5,51.5,14.5,8.0,70.0,4.5,74.33,Friday,Spring,False,False,0
2021-04-11,Cardiology,4.0,326.0,255.0,26.0,51.0,19.0,9.0,76.0,3.0,78.22,Sunday,Spring,False,False,0
2021-04-14,Cardiology,4.0,313.0,359.0,22.0,64.0,21.0,12.0,97.0,10.0,114.7,Wednesday,Spring,False,False,1
2021-04-15,Cardiology,4.0,315.0,256.0,76.0,64.0,14.0,8.0,87.0,2.0,81.27,Thursday,Spring,False,False,0
2021-04-21,Cardiology,4.0,326.0,349.0,70.0,21.0,10.0,12.0,70.0,8.0,107.06,Wednesday,Spring,False,False,1
2021-04-22,Cardiology,4.0,338.0,263.0,74.0,35.0,9.0,8.0,99.0,3.0,77.81,Thursday,Spring,False,False,0
2021-04-23,Cardiology,4.0,303.0,310.0,20.0,67.0,8.0,11.0,96.0,10.0,102.31,Friday,Spring,False,False,1
2021-04-25,Cardiology,4.0,356.0,316.0,24.0,63.0,9.5,9.5,78.0,7.5,88.185,Sunday,Spring,False,True,0
2021-04-26,Cardiology,4.0,376.0,237.5,37.0,57.5,18.0,6.5,88.0,4.5,63.135,Monday,Spring,False,True,0
2021-04-28,Cardiology,4.0,346.0,259.0,41.0,25.0,5.0,5.0,78.0,3.0,74.86,Wednesday,Spring,False,False,0
2021-05-02,Cardiology,5.0,371.3333333333333,268.3333333333333,66.66666666666667,40.333333333333336,16.333333333333332,3.3333333333333335,78.66666666666667,6.0,71.5,Sunday,Summer,False,False,0
2021-05-03,Cardiology,5.0,312.0,201.0,31.0,70.0,12.0,5.0,99.0,7.0,64.42,Monday,Summer,False,False,0
2021-05-05,Cardiology,5.0,389.0,300.0,68.0,56.0,11.0,12.0,79.0,8.0,77.12,Wednesday,Summer,False,False,0
2021-05-06,Cardiology,5.0,342.0,275.5,54.0,55.5,13.5,4.0,80.0,8.5,83.11,Thursday,Summer,True,False,0
2021-05-09,Cardiology,5.0,358.5,298.0,61.5,26.5,16.0,9.0,93.0,8.0,83.86500000000001,Sunday,Summer,True,True,0
2021-05-10,Cardiology,5.0,341.6666666666667,296.3333333333333,67.66666666666667,41.0,14.666666666666666,8.333333333333334,87.0,4.333333333333333,87.69,Monday,Summer,False,True,0
2021-05-12,Cardiology,5.0,351.0,264.0,42.5,37.0,24.5,2.0,84.5,5.0,74.18,Wednesday,Summer,False,False,0
2021-05-14,Cardiology,5.0,374.0,329.6666666666667,47.333333333333336,47.666666666666664,24.0,10.333333333333334,84.66666666666667,4.0,88.35333333333334,Friday,Summer,False,True,0
2021-05-17,Cardiology,5.0,355.0,243.0,65.0,23.0,9.0,5.0,75.0,10.0,68.45,Monday,Summer,False,False,0
2021-05-18,Cardiology,5.0,337.0,275.0,60.0,42.0,12.0,3.0,95.0,2.0,81.6,Tuesday,Summer,False,False,0
2021-05-20,Cardiology,5.0,311.0,288.0,42.0,50.0,7.0,3.0,70.0,3.0,92.6,Thursday,Summer,False,False,0
2021-05-21,Cardiology,5.0,343.0,288.0,44.0,66.0,14.0,12.0,84.0,9.0,83.97,Friday,Summer,False,False,0
2021-05-23,Cardiology,5.0,366.0,272.0,60.0,26.0,12.0,6.0,88.0,3.5,74.3,Sunday,Summer,False,False,0
2021-05-24,Cardiology,5.0,366.0,286.0,47.0,44.0,7.0,10.0,100.0,1.0,78.14,Monday,Summer,False,False,0
2021-05-26,Cardiology,5.0,392.0,234.0,62.0,30.0,11.0,7.0,85.0,5.0,59.69,Wednesday,Summer,False,False,0
2021-05-28,Cardiology,5.0,337.0,318.0,30.0,62.0,8.0,6.0,74.0,6.0,94.36,Friday,Summer,False,True,0
2021-05-29,Cardiology,5.0,307.0,194.0,79.0,42.0,10.0,2.0,75.0,10.0,63.19,Saturday,Summer,False,False,0
2021-05-30,Cardiology,5.0,394.0,247.0,49.0,57.0,5.0,11.0,99.0,9.0,62.69,Sunday,Summer,False,False,0
2021-05-31,Cardiology,5.0,374.0,223.0,62.0,31.0,15.0,7.0,74.0,4.0,59.63,Monday,Summer,False,False,0
2021-06-03,Cardiology,6.0,344.0,296.4,41.2,44.6,15.0,5.6,79.6,5.0,86.836,Thursday,Monsoon,False,True,0
2021-06-04,Cardiology,6.0,353.6666666666667,294.3333333333333,55.666666666666664,41.0,18.666666666666668,7.0,84.33333333333333,6.0,83.70333333333333,Friday,Monsoon,False,False,0
2021-06-05,Cardiology,6.0,302.0,228.0,40.0,20.0,13.0,3.0,86.0,7.0,75.5,Saturday,Monsoon,False,False,0
2021-06-06,Cardiology,6.0,340.0,300.3333333333333,45.0,48.333333333333336,11.333333333333334,6.0,85.33333333333333,3.6666666666666665,89.67666666666666,Sunday,Monsoon,False,False,0
2021-06-09,Cardiology,6.0,388.0,329.0,56.0,69.0,12.0,11.0,77.0,1.0,84.79,Wednesday,Monsoon,False,False,0
2021-06-10,Cardiology,6.0,337.5,288.5,47.5,54.5,15.0,8.0,76.0,5.0,85.39500000000001,Thursday,Monsoon,False,False,0
2021-06-11,Cardiology,6.0,327.0,186.0,75.0,41.0,6.0,9.0,97.0,4.0,56.88,Friday,Monsoon,False,False,0
2021-06-12,Cardiology,6.0,339.0,186.0,28.0,61.0,10.0,10.0,90.0,4.0,54.87,Saturday,Monsoon,False,False,0
2021-06-13,Cardiology,6.0,325.0,385.0,35.0,16.0,24.0,6.0,82.0,4.0,118.46,Sunday,Monsoon,False,False,1
2021-06-14,Cardiology,6.0,309.0,359.0,51.0,25.0,13.0,2.0,89.0,3.0,116.18,Monday,Monsoon,False,False,1
2021-06-15,Cardiology,6.0,312.0,377.0,42.0,55.0,16.0,6.0,89.0,9.0,120.83,Tuesday,Monsoon,True,False,1
2021-06-16,Cardiology,6.0,351.0,274.0,29.0,58.0,23.0,9.0,84.0,6.0,78.06,Wednesday,Monsoon,False,False,0
2021-06-19,Cardiology,6.0,387.0,378.0,48.0,23.0,24.0,11.0,77.0,3.0,97.67,Saturday,Monsoon,False,False,0
2021-06-20,Cardiology,6.0,351.0,222.5,46.5,51.5,18.5,9.5,98.0,2.5,63.61,Sunday,Monsoon,False,False,0
2021-06-22,Cardiology,6.0,355.0,338.0,53.0,25.0,15.0,5.0,95.0,2.0,95.21,Tuesday,Monsoon,False,False,0
2021-06-24,Cardiology,6.0,354.0,270.0,80.0,25.0,14.0,5.0,75.0,5.0,76.27,Thursday,Monsoon,False,False,0
2021-06-26,Cardiology,6.0,350.0,266.0,42.0,39.5,7.5,2.0,86.5,3.0,74.92,Saturday,Monsoon,False,False,0
2021-06-27,Cardiology,6.0,396.0,313.0,35.0,61.0,19.0,1.0,100.0,2.0,79.04,Sunday,Monsoon,False,False,0
2021-06-28,Cardiology,6.0,340.0,380.0,73.0,43.0,25.0,11.0,88.0,5.0,111.76,Monday,Monsoon,False,False,1
2021-06-30,Cardiology,6.0,393.0,378.0,56.0,64.0,25.0,11.0,74.0,10.0,96.18,Wednesday,Monsoon,False,False,0
2021-07-01,Cardiology,7.0,373.5,337.5,45.0,49.0,13.0,9.0,91.5,6.0,90.285,Thursday,Monsoon,False,False,0
2021-07-02,Cardiology,7.0,361.5,368.0,50.5,40.5,14.5,9.0,89.0,9.5,102.325,Friday,Monsoon,True,False,1
2021-07-03,Cardiology,7.0,386.0,188.0,71.0,67.0,5.0,12.0,72.0,6.0,48.7,Saturday,Monsoon,False,False,0
2021-07-06,Cardiology,7.0,312.0,221.0,35.0,23.0,18.0,10.0,92.0,10.0,70.83,Tuesday,Monsoon,False,False,0
2021-07-07,Cardiology,7.0,358.0,239.0,62.0,59.0,25.0,11.0,73.0,7.0,66.76,Wednesday,Monsoon,False,False,0
2021-07-11,Cardiology,7.0,323.6666666666667,266.6666666666667,46.666666666666664,51.0,22.333333333333332,3.3333333333333335,90.0,3.0,82.44333333333333,Sunday,Monsoon,False,False,0
2021-07-12,Cardiology,7.0,381.0,192.0,76.0,62.0,5.0,1.0,70.0,2.0,50.39,Monday,Monsoon,False,False,0
2021-07-13,Cardiology,7.0,375.0,254.5,63.0,21.0,16.0,10.5,80.0,8.0,68.385,Tuesday,Monsoon,False,False,0
2021-07-15,Cardiology,7.0,382.0,307.0,23.0,39.0,22.0,4.0,76.0,3.0,80.37,Thursday,Monsoon,True,False,0
2021-07-18,Cardiology,7.0,354.0,222.0,49.0,47.5,18.5,9.5,76.5,4.0,62.7,Sunday,Monsoon,False,False,0
2021-07-20,Cardiology,7.0,363.6666666666667,272.3333333333333,51.666666666666664,55.666666666666664,13.0,5.0,87.33333333333333,3.3333333333333335,76.37333333333333,Tuesday,Monsoon,False,False,0
2021-07-21,Cardiology,7.0,351.5,239.5,36.0,40.5,16.0,10.5,92.5,5.5,68.505,Wednesday,Monsoon,False,False,0
2021-07-22,Cardiology,7.0,393.0,239.0,77.0,40.0,16.0,7.0,74.0,7.0,60.81,Thursday,Monsoon,False,False,0
2021-07-24,Cardiology,7.0,397.0,374.0,64.0,46.0,24.0,4.0,87.0,9.0,94.21,Saturday,Monsoon,False,False,0
2021-07-26,Cardiology,7.0,389.0,197.0,30.0,35.0,21.0,4.0,89.0,6.0,50.64,Monday,Monsoon,False,False,0
2021-07-27,Cardiology,7.0,320.0,236.0,22.0,36.0,21.0,2.0,86.0,8.0,73.75,Tuesday,Monsoon,False,False,0
2021-07-28,Cardiology,7.0,313.0,201.0,32.0,62.0,20.0,2.0,70.0,4.0,64.22,Wednesday,Monsoon,False,False,0
2021-07-30,Cardiology,7.0,363.0,230.0,66.0,18.0,10.0,10.0,83.0,4.0,63.36,Friday,Monsoon,False,False,0
2021-07-31,Cardiology,7.0,373.0,270.0,32.0,35.5,14.5,9.0,95.5,9.0,72.63,Saturday,Monsoon,False,False,0
2021-08-02,Cardiology,8.0,323.0,298.0,28.0,64.0,21.0,7.0,88.0,4.0,92.26,Monday,Monsoon,False,False,0
2021-08-04,Cardiology,8.0,393.5,206.0,45.0,52.5,19.0,6.0,90.0,6.0,52.364999999999995,Wednesday,Monsoon,False,False,0
2021-08-05,Cardiology,8.0,399.0,288.0,21.0,64.0,5.0,5.0,98.0,2.0,72.18,Thursday,Monsoon,False,False,0
2021-08-06,Cardiology,8.0,313.0,247.5,51.5,44.5,16.0,9.5,97.0,6.0,79.56,Friday,Monsoon,False,False,0
2021-08-08,Cardiology,8.0,330.0,345.5,38.0,29.0,10.0,2.5,79.0,5.0,104.92,Sunday,Monsoon,False,False,1
2021-08-09,Cardiology,8.0,333.5,248.5,72.5,36.0,16.5,8.0,94.0,7.5,73.995,Monday,Monsoon,False,False,0
2021-08-11,Cardiology,8.0,365.0,220.0,38.0,30.0,21.0,3.0,88.0,8.0,60.27,Wednesday,Monsoon,False,False,0
2021-08-12,Cardiology,8.0,366.0,186.0,20.0,41.0,19.0,6.0,89.0,1.0,50.82,Thursday,Monsoon,False,False,0
2021-08-14,Cardiology,8.0,370.0,272.0,41.0,45.0,18.0,9.0,97.0,2.0,73.51,Saturday,Monsoon,False,False,0
2021-08-15,Cardiology,8.0,334.0,185.0,75.0,57.0,5.0,10.0,82.0,6.0,55.39,Sunday,Monsoon,False,False,0
2021-08-18,Cardiology,8.0,348.0,217.0,32.0,56.0,10.0,3.0,84.0,9.0,62.36,Wednesday,Monsoon,False,False,0
2021-08-19,Cardiology,8.0,350.0,192.0,33.0,28.0,13.0,8.0,82.0,8.0,54.86,Thursday,Monsoon,False,False,0
2021-08-20,Cardiology,8.0,311.0,326.0,23.0,54.0,19.0,6.0,91.0,1.0,104.82,Friday,Monsoon,False,False,1
2021-08-21,Cardiology,8.0,358.0,282.0,65.0,36.0,16.5,6.0,77.0,8.5,77.28999999999999,Saturday,Monsoon,True,False,0
2021-08-23,Cardiology,8.0,311.0,241.0,21.0,49.0,5.0,8.0,100.0,3.0,77.49,Monday,Monsoon,False,False,0
2021-08-27,Cardiology,8.0,382.0,372.0,36.0,19.0,9.0,4.0,70.0,5.0,97.38,Friday,Monsoon,False,False,0
2021-08-30,Cardiology,8.0,360.6666666666667,311.6666666666667,60.333333333333336,43.333333333333336,12.666666666666666,9.0,80.66666666666667,4.0,86.16333333333334,Monday,Monsoon,False,False,0
2021-09-02,Cardiology,9.0,315.0,346.0,58.0,19.0,18.0,10.0,92.0,7.0,109.84,Thursday,Autumn,False,False,1
2021-09-03,Cardiology,9.0,323.0,320.0,68.0,19.0,25.0,10.0,85.0,5.0,99.07,Friday,Autumn,False,False,0
2021-09-05,Cardiology,9.0,369.0,218.0,58.0,15.0,23.0,1.0,90.0,10.0,59.08,Sunday,Autumn,False,False,0
2021-09-07,Cardiology,9.0,364.3333333333333,304.6666666666667,56.333333333333336,53.0,11.666666666666666,9.0,82.66666666666667,3.3333333333333335,84.08666666666666,Tuesday,Autumn,False,False,0
2021-09-10,Cardiology,9.0,373.0,283.0,52.0,59.0,16.0,2.0,80.0,1.0,75.87,Friday,Autumn,False,False,0
2021-09-11,Cardiology,9.0,308.0,196.0,21.0,26.0,19.0,3.0,80.0,9.0,63.64,Saturday,Autumn,False,False,0
2021-09-12,Cardiology,9.0,358.5,301.0,39.5,35.5,21.5,10.5,80.0,2.0,84.305,Sunday,Autumn,False,False,0
2021-09-13,Cardiology,9.0,372.0,290.5,38.0,49.0,13.0,4.0,81.0,8.0,78.715,Monday,Autumn,False,False,0
2021-09-15,Cardiology,9.0,363.0,205.0,20.0,22.0,22.0,1.0,73.0,7.0,56.47,Wednesday,Autumn,False,False,0
2021-09-20,Cardiology,9.0,369.0,278.0,77.0,16.0,6.0,6.0,79.0,3.0,75.34,Monday,Autumn,False,False,0
2021-09-24,Cardiology,9.0,324.0,239.0,55.0,69.0,12.0,9.0,97.0,7.0,73.77,Friday,Autumn,False,False,0
2021-09-25,Cardiology,9.0,368.0,237.0,30.0,23.0,10.0,2.0,98.0,1.0,64.4,Saturday,Autumn,False,False,0
2021-09-27,Cardiology,9.0,365.0,333.0,53.5,19.5,17.0,5.0,81.5,8.5,91.955,Monday,Autumn,True,False,0
2021-09-28,Cardiology,9.0,358.5,349.0,49.0,48.5,16.5,6.0,84.5,2.5,99.295,Tuesday,Autumn,True,False,0
2021-09-29,Cardiology,9.0,303.0,320.0,64.0,49.0,23.0,10.0,100.0,4.0,105.61,Wednesday,Autumn,False,False,1
2021-10-01,Cardiology,10.0,343.0,383.0,34.0,34.0,5.0,4.0,80.0,9.0,111.66,Friday,Autumn,False,False,1
2021-10-04,Cardiology,10.0,338.0,224.0,43.5,36.5,12.5,8.5,87.0,2.5,66.085,Monday,Autumn,False,False,0
2021-10-07,Cardiology,10.0,356.0,321.0,57.0,37.0,21.0,6.0,76.0,7.0,90.17,Thursday,Autumn,True,False,0
2021-10-08,Cardiology,10.0,361.5,315.0,62.5,27.5,17.5,7.5,88.5,5.0,86.445,Friday,Autumn,False,False,0
2021-10-11,Cardiology,10.0,359.0,305.0,25.0,57.0,18.0,7.0,90.0,6.0,84.96,Monday,Autumn,True,False,0
2021-10-12,Cardiology,10.0,373.0,215.0,43.0,42.0,6.0,7.0,86.0,2.0,57.64,Tuesday,Autumn,False,False,0
2021-10-13,Cardiology,10.0,376.0,309.0,31.0,65.0,17.0,10.0,92.0,8.0,82.18,Wednesday,Autumn,False,False,0
2021-10-14,Cardiology,10.0,312.0,365.0,32.0,15.0,8.0,6.0,86.0,6.0,116.99,Thursday,Autumn,True,False,1
2021-10-15,Cardiology,10.0,400.0,307.0,36.0,39.0,24.0,5.0,77.0,8.0,76.75,Friday,Autumn,True,False,0
2021-10-16,Cardiology,10.0,380.0,358.0,50.0,25.0,15.0,5.0,89.0,1.0,94.21,Saturday,Autumn,False,False,0
2021-10-18,Cardiology,10.0,382.3333333333333,269.0,60.666666666666664,42.333333333333336,12.333333333333334,7.0,80.66666666666667,4.666666666666667,70.58,Monday,Autumn,True,False,0
2021-10-21,Cardiology,10.0,389.0,180.0,78.0,56.0,15.0,11.0,83.0,9.0,46.27,Thursday,Autumn,False,False,0
2021-10-23,Cardiology,10.0,337.0,301.5,57.5,48.5,15.5,1.0,94.0,7.5,93.24,Saturday,Autumn,False,False,0
2021-10-26,Cardiology,10.0,362.0,317.0,33.0,21.0,8.0,5.0,74.0,6.0,87.57,Tuesday,Autumn,False,False,0
2021-10-27,Cardiology,10.0,364.0,239.0,31.0,62.0,11.0,7.0,73.0,5.0,65.66,Wednesday,Autumn,False,False,0
2021-10-30,Cardiology,10.0,348.0,279.0,68.0,61.0,5.0,1.0,73.0,7.0,80.17,Saturday,Autumn,False,False,0
2021-11-01,Cardiology,11.0,356.0,274.0,39.5,22.5,23.5,4.5,87.5,6.0,80.58500000000001,Monday,Autumn,False,False,0
2021-11-02,Cardiology,11.0,358.5,258.5,44.5,20.0,11.5,2.0,95.0,4.0,72.7,Tuesday,Autumn,False,False,0
2021-11-03,Cardiology,11.0,337.5,343.0,30.5,54.0,17.5,4.0,85.5,5.5,101.575,Wednesday,Autumn,False,False,1
2021-11-09,Cardiology,11.0,349.0,353.0,68.0,43.0,6.0,9.0,95.0,9.0,101.15,Tuesday,Autumn,False,False,1
2021-11-10,Cardiology,11.0,354.0,355.0,79.0,32.0,8.0,5.0,71.0,1.0,100.28,Wednesday,Autumn,False,False,1
2021-11-11,Cardiology,11.0,400.0,236.0,55.0,69.0,24.0,3.0,78.0,2.0,59.0,Thursday,Autumn,False,False,0
2021-11-14,Cardiology,11.0,345.0,363.5,39.0,26.5,19.0,4.0,84.5,7.0,106.44,Sunday,Autumn,False,False,1
2021-11-16,Cardiology,11.0,343.0,302.0,25.0,64.0,18.0,10.0,94.0,3.0,88.05,Tuesday,Autumn,True,False,0
2021-11-17,Cardiology,11.0,364.0,205.0,48.0,56.0,15.0,9.0,78.0,3.0,56.32,Wednesday,Autumn,False,False,0
2021-11-19,Cardiology,11.0,343.0,361.0,21.0,33.0,17.0,5.0,93.0,1.0,105.25,Friday,Autumn,False,False,1
2021-11-21,Cardiology,11.0,318.0,273.0,35.0,63.0,25.0,4.0,91.0,3.0,85.85,Sunday,Autumn,False,False,0
2021-11-23,Cardiology,11.0,351.0,228.0,56.0,35.0,25.0,5.0,82.0,8.0,64.96,Tuesday,Autumn,False,False,0
2021-11-24,Cardiology,11.0,332.0,239.0,43.0,56.0,20.0,5.0,75.0,1.0,71.99,Wednesday,Autumn,False,False,0
2021-11-25,Cardiology,11.0,325.0,297.0,31.0,44.0,22.0,8.0,94.0,5.0,91.38,Thursday,Autumn,False,False,0
2021-11-27,Cardiology,11.0,343.5,342.0,47.0,43.0,6.5,8.0,90.0,10.0,100.465,Saturday,Autumn,False,False,1
2021-11-30,Cardiology,11.0,373.0,336.5,54.5,32.5,14.5,6.0,91.5,5.0,90.22,Tuesday,Autumn,False,False,0
2021-12-01,Cardiology,12.0,381.0,231.0,47.0,70.0,18.0,12.0,85.0,1.0,60.63,Wednesday,Winter,False,False,0
2021-12-02,Cardiology,12.0,368.0,276.5,40.0,59.5,11.5,10.0,85.0,6.0,75.63,Thursday,Winter,False,False,0
2021-12-03,Cardiology,12.0,303.5,285.5,23.0,57.5,9.5,10.5,84.0,9.5,94.18,Friday,Winter,False,False,0
2021-12-04,Cardiology,12.0,350.0,243.0,55.0,15.0,16.0,4.0,96.0,5.0,69.43,Saturday,Winter,False,False,0
2021-12-05,Cardiology,12.0,384.0,224.0,35.0,60.0,25.0,10.0,75.0,4.0,58.33,Sunday,Winter,False,False,0
2021-12-07,Cardiology,12.0,388.0,215.0,71.0,33.5,22.0,10.5,86.0,5.5,55.32,Tuesday,Winter,False,False,0
2021-12-08,Cardiology,12.0,359.5,341.5,24.0,26.5,12.0,7.5,80.5,4.5,95.015,Wednesday,Winter,False,False,0
2021-12-09,Cardiology,12.0,363.0,197.0,31.0,30.0,7.0,5.0,100.0,8.0,54.27,Thursday,Winter,False,False,0
2021-12-10,Cardiology,12.0,385.0,367.0,48.0,17.0,23.0,6.0,87.0,8.0,95.32,Friday,Winter,False,False,0
2021-12-11,Cardiology,12.0,318.0,255.5,40.0,51.5,16.0,11.5,76.5,6.0,80.36500000000001,Saturday,Winter,False,False,0
2021-12-14,Cardiology,12.0,345.0,322.0,22.0,43.0,21.0,6.0,90.0,3.0,93.33,Tuesday,Winter,False,False,0
2021-12-15,Cardiology,12.0,323.0,389.0,75.0,67.0,16.0,1.0,72.0,6.0,120.43,Wednesday,Winter,False,False,1
2021-12-17,Cardiology,12.0,328.0,317.0,74.0,57.0,10.0,8.0,92.0,9.0,96.65,Friday,Winter,False,False,0
2021-12-20,Cardiology,12.0,354.5,292.5,60.0,46.5,12.5,9.0,90.5,2.5,82.455,Monday,Winter,False,False,0
2021-12-23,Cardiology,12.0,398.0,242.0,56.0,18.0,18.0,3.0,92.0,2.0,60.8,Thursday,Winter,False,False,0
2021-12-29,Cardiology,12.0,321.0,182.0,45.0,38.0,21.0,10.0,81.0,1.0,56.7,Wednesday,Winter,False,False,0
2021-12-31,Cardiology,12.0,332.5,275.0,62.0,39.0,19.0,4.5,75.0,4.5,83.015,Friday,Winter,False,False,0
2022-01-04,Cardiology,1.0,323.0,349.0,24.0,51.0,16.0,1.0,88.0,1.0,108.05,Tuesday,Winter,False,False,1
2022-01-05,Cardiology,1.0,372.5,258.5,40.5,34.5,20.5,2.0,79.5,4.5,69.285,Wednesday,Winter,False,False,0
2022-01-06,Cardiology,1.0,346.0,365.0,45.0,28.0,15.0,6.0,92.0,4.0,105.49,Thursday,Winter,False,False,1
2022-01-07,Cardiology,1.0,374.0,249.0,43.0,60.0,25.0,8.0,95.0,4.0,66.58,Friday,Winter,False,False,0
2022-01-09,Cardiology,1.0,340.0,282.0,62.0,29.0,24.0,5.0,99.0,9.0,82.94,Sunday,Winter,False,False,0
2022-01-11,Cardiology,1.0,330.0,292.0,21.0,22.0,18.0,8.0,83.0,6.0,88.48,Tuesday,Winter,False,False,0
