Date,Day_of_Week,Month,Season,Total_Hospital_Beds,Beds_Occupied,Daily_Admissions,Daily_Discharges,Emergency_Admissions,ICU_Admissions,Department,Public_Holiday,Special_Event,Staff_Availability,Avg_Length_of_Stay,Occupancy_Rate
2022-10-10,Monday,10,Autumn,358,300,28,42,16,10,Emergency,True,False,79,9,83.8
2025-02-04,Tuesday,2,Winter,338,285,67,26,20,6,Pediatrics,False,False,92,1,84.32
2023-12-23,Saturday,12,Winter,302,248,52,25,11,4,ICU,False,False,92,6,82.12
2024-03-08,Friday,3,Spring,375,274,56,41,18,4,Cardiology,False,False,92,1,73.07
2025-03-03,Monday,3,Spring,306,256,72,37,13,5,Orthopedics,False,False,73,1,83.66
2022-08-16,Tuesday,8,Monsoon,348,350,56,47,19,3,Neurology,False,False,81,5,100.57
2022-01-27,Thursday,1,Winter,325,180,43,30,15,12,Pediatrics,False,False,74,5,55.38
2025-08-26,Tuesday,8,Monsoon,332,329,44,42,8,4,Neurology,False,False,73,1,99.1
2022-02-23,Wednesday,2,Winter,400,241,70,42,15,12,Pediatrics,False,False,99,2,60.25
2021-10-16,Saturday,10,Autumn,347,386,60,59,13,4,Orthopedics,False,False,78,3,111.24
2022-01-14,Friday,1,Winter,378,333,48,52,10,7,Pediatrics,False,False,89,3,88.1
2025-12-02,Tuesday,12,Winter,301,197,78,69,21,7,ICU,False,False,70,7,65.45
2025-02-22,Saturday,2,Winter,370,227,59,20,13,1,Cardiology,False,False,85,2,61.35
2021-08-19,Thursday,8,Monsoon,331,316,70,56,10,12,General Medicine,False,False,77,3,95.47
2023-10-15,Sunday,10,Autumn,303,180,69,43,10,3,General Medicine,False,False,82,1,59.41
2021-02-10,Wednesday,2,Winter,319,316,66,48,8,9,General Medicine,True,False,91,1,99.06
2023-11-18,Saturday,11,Autumn,335,330,55,17,24,6,Cardiology,True,False,87,1,98.51
2021-05-15,Saturday,5,Summer,331,286,34,20,15,6,Neurology,False,False,70,1,86.4
2021-07-20,Tuesday,7,Monsoon,327,352,64,62,7,4,Cardiology,False,False,95,4,107.65
2023-02-19,Sunday,2,Winter,376,309,79,52,22,10,Pediatrics,False,False,99,1,82.18
2023-07-19,Wednesday,7,Monsoon,300,321,37,70,20,9,Cardiology,False,False,99,4,107.0
2023-11-23,Thursday,11,Autumn,359,217,39,27,25,12,Emergency,False,False,76,6,60.45
2023-12-08,Friday,12,Winter,355,219,24,50,20,3,Neurology,True,False,83,3,61.69
2022-05-18,Wednesday,5,Summer,334,370,37,29,16,8,General Medicine,False,False,77,3,110.78
2022-02-11,Friday,2,Winter,329,261,79,20,18,6,General Medicine,False,False,85,5,79.33
2025-05-17,Saturday,5,Summer,353,195,59,47,13,12,General Medicine,False,False,83,10,55.24
2025-10-18,Saturday,10,Autumn,335,306,20,55,11,2,Neurology,False,False,79,2,91.34
2023-03-16,Thursday,3,Spring,354,296,38,26,18,3,Emergency,False,False,78,4,83.62
2021-04-09,Friday,4,Spring,388,272,42,69,24,1,Emergency,False,False,96,1,70.1
2022-11-15,Tuesday,11,Autumn,379,382,45,57,24,3,Pediatrics,False,False,89,10,100.79
2022-12-27,Tuesday,12,Winter,357,313,68,27,14,4,Pediatrics,False,False,76,9,87.68
2025-04-20,Sunday,4,Spring,382,182,48,47,15,6,Cardiology,True,False,74,3,47.64
2023-08-19,Saturday,8,Monsoon,364,193,78,65,11,10,Neurology,False,False,83,8,53.02
2025-10-29,Wednesday,10,Autumn,368,245,53,42,23,7,Pediatrics,False,False,87,4,66.58
2022-09-05,Monday,9,Autumn,350,274,38,67,23,3,Neurology,False,False,88,6,78.29
2025-01-25,Saturday,1,Winter,321,382,67,50,25,11,General Medicine,False,False,77,10,119.0
2022-10-05,Wednesday,10,Autumn,387,265,37,19,15,7,General Medicine,False,False,79,4,68.48
2025-11-28,Friday,11,Autumn,400,374,21,69,10,4,Neurology,False,False,80,4,93.5
2023-10-26,Thursday,10,Autumn,352,293,79,39,12,1,Orthopedics,False,False,74,6,83.24
2024-05-26,Sunday,5,Summer,399,338,46,31,5,1,Neurology,False,False,84,8,84.71
2022-05-18,Wednesday,5,Summer,335,340,25,51,12,8,Pediatrics,False,False,72,9,101.49
2023-02-06,Monday,2,Winter,367,308,58,33,9,10,Orthopedics,True,False,93,2,83.92
2022-02-02,Wednesday,2,Winter,335,351,25,49,14,7,Orthopedics,False,False,92,6,104.78
2023-05-21,Sunday,5,Summer,351,194,78,57,6,4,Emergency,False,False,76,1,55.27
2023-03-06,Monday,3,Spring,352,216,25,48,8,1,Pediatrics,False,False,76,7,61.36
2022-01-28,Friday,1,Winter,381,334,50,68,6,6,Cardiology,False,False,90,10,87.66
2021-07-26,Monday,7,Monsoon,349,355,60,60,19,11,ICU,False,False,89,3,101.72
2023-11-05,Sunday,11,Autumn,379,206,59,20,24,12,General Medicine,False,False,91,9,54.35
2025-04-27,Sunday,4,Spring,340,191,49,33,14,11,Pediatrics,False,False,75,6,56.18
2023-06-11,Sunday,6,Monsoon,317,246,75,15,25,10,Orthopedics,True,False,100,9,77.6
2025-01-24,Friday,1,Winter,321,209,73,21,6,7,General Medicine,False,False,91,6,65.11
2025-09-11,Thursday,9,Autumn,365,275,40,48,10,6,General Medicine,False,False,96,4,75.34
2025-05-18,Sunday,5,Summer,320,373,60,70,18,12,General Medicine,False,False,93,6,116.56
2023-05-14,Sunday,5,Summer,399,314,63,33,9,6,Neurology,False,False,75,1,78.7
2023-01-13,Friday,1,Winter,343,213,37,47,6,8,Cardiology,False,False,79,10,62.1
2024-06-18,Tuesday,6,Monsoon,346,211,42,40,18,6,General Medicine,False,False,89,8,60.98
2022-07-18,Monday,7,Monsoon,338,296,57,55,17,2,Pediatrics,False,False,95,10,87.57
2023-10-18,Wednesday,10,Autumn,328,218,42,67,6,7,Cardiology,False,False,95,8,66.46
2021-04-06,Tuesday,4,Spring,353,275,47,63,13,10,ICU,False,False,81,3,77.9
2025-10-24,Friday,10,Autumn,389,350,55,56,7,4,ICU,False,True,73,5,89.97
2022-04-30,Saturday,4,Spring,384,350,44,41,19,11,Emergency,True,True,74,5,91.15
2024-12-01,Sunday,12,Winter,316,385,26,52,7,11,General Medicine,False,False,92,3,121.84
2021-08-19,Thursday,8,Monsoon,379,310,37,40,16,3,Orthopedics,False,False,85,6,81.79
2023-01-19,Thursday,1,Winter,359,353,80,49,10,8,Emergency,False,False,96,9,98.33
2025-08-06,Wednesday,8,Monsoon,330,339,39,34,23,10,Neurology,False,False,82,3,102.73
2024-04-09,Tuesday,4,Spring,372,222,24,38,21,12,Pediatrics,False,False,70,9,59.68
2022-06-25,Saturday,6,Monsoon,394,260,37,61,10,12,Pediatrics,False,False,70,8,65.99
2023-11-26,Sunday,11,Autumn,377,182,61,35,23,5,Emergency,False,False,85,5,48.28
2022-06-09,Thursday,6,Monsoon,348,253,59,68,21,4,ICU,False,False,90,9,72.7
2024-03-29,Friday,3,Spring,400,296,52,40,20,11,Orthopedics,False,False,74,7,74.0
2025-09-19,Friday,9,Autumn,301,242,34,34,25,4,General Medicine,False,False,96,3,80.4
2024-06-20,Thursday,6,Monsoon,347,290,54,20,12,5,General Medicine,False,False,97,10,83.57
2024-01-15,Monday,1,Winter,313,219,66,17,23,12,ICU,False,False,86,2,69.97
2025-12-25,Thursday,12,Winter,358,197,65,24,12,4,Neurology,False,False,92,5,55.03
2022-08-01,Monday,8,Monsoon,396,246,20,26,24,3,Cardiology,False,False,76,3,62.12
2022-11-13,Sunday,11,Autumn,398,282,40,47,19,4,ICU,False,False,73,10,70.85
2022-07-11,Monday,7,Monsoon,357,369,27,36,12,10,Orthopedics,False,False,71,9,103.36
2025-05-17,Saturday,5,Summer,357,317,26,30,7,5,Cardiology,False,False,71,10,88.8
2023-10-10,Tuesday,10,Autumn,350,359,60,31,20,12,Orthopedics,False,False,73,7,102.57
2022-10-08,Saturday,10,Autumn,383,380,69,24,7,2,General Medicine,False,False,71,10,99.22
2023-03-07,Tuesday,3,Spring,301,225,63,26,5,7,Cardiology,False,False,70,10,74.75
2023-11-18,Saturday,11,Autumn,340,234,59,33,12,5,Orthopedics,False,False,86,8,68.82
2025-07-02,Wednesday,7,Monsoon,382,353,59,54,13,9,Pediatrics,False,False,77,6,92.41
2025-04-29,Tuesday,4,Spring,400,254,49,37,16,6,General Medicine,False,False,87,9,63.5
2024-09-25,Wednesday,9,Autumn,381,367,57,54,22,11,Orthopedics,False,False,78,6,96.33
2025-12-27,Saturday,12,Winter,315,276,54,24,21,1,Cardiology,False,False,71,3,87.62
2024-09-16,Monday,9,Autumn,303,205,21,24,12,9,General Medicine,False,False,96,2,67.66
2025-07-22,Tuesday,7,Monsoon,311,334,65,64,24,5,Orthopedics,False,False,96,1,107.4
2025-03-10,Monday,3,Spring,328,345,27,24,15,9,Emergency,False,False,73,9,105.18
2024-10-03,Thursday,10,Autumn,306,201,57,53,11,1,Cardiology,False,False,92,6,65.69
2025-02-05,Wednesday,2,Winter,313,205,23,44,18,2,Cardiology,False,False,76,4,65.5
2024-06-08,Saturday,6,Monsoon,311,376,56,18,14,3,Cardiology,False,False,95,5,120.9
2021-07-09,Friday,7,Monsoon,398,342,40,15,19,12,Neurology,False,False,80,8,85.93
2024-06-02,Sunday,6,Monsoon,304,373,32,57,16,5,General Medicine,False,False,77,1,122.7
2024-11-09,Saturday,11,Autumn,380,252,28,33,24,6,Cardiology,False,False,72,8,66.32
2024-11-01,Friday,11,Autumn,331,294,64,19,21,5,Orthopedics,False,False,86,7,88.82
2024-07-30,Tuesday,7,Monsoon,373,230,48,44,12,1,Pediatrics,False,True,97,9,61.66
2022-09-25,Sunday,9,Autumn,342,292,60,40,18,4,Emergency,False,False,73,4,85.38
2022-09-20,Tuesday,9,Autumn,380,325,75,54,19,6,Orthopedics,False,True,85,5,85.53
2023-08-31,Thursday,8,Monsoon,368,350,43,48,15,4,Orthopedics,False,False,72,8,95.11
2025-11-04,Tuesday,11,Autumn,344,191,35,16,16,4,Cardiology,False,False,96,3,55.52
2024-07-06,Saturday,7,Monsoon,308,182,31,38,24,5,Emergency,False,False,89,10,59.09
2024-10-14,Monday,10,Autumn,348,389,21,28,20,8,Emergency,False,False,91,1,111.78
2022-12-11,Sunday,12,Winter,332,299,38,55,24,5,Pediatrics,False,False,85,1,90.06
2025-01-19,Sunday,1,Winter,399,314,49,56,22,7,Emergency,False,False,70,10,78.7
2024-12-05,Thursday,12,Winter,399,313,35,27,14,8,Emergency,False,False,82,6,78.45
2022-10-11,Tuesday,10,Autumn,317,261,43,43,23,6,ICU,False,True,86,2,82.33
2021-11-14,Sunday,11,Autumn,308,224,32,15,22,6,Pediatrics,True,False,98,9,72.73
2025-08-28,Thursday,8,Monsoon,361,306,24,60,5,2,Pediatrics,False,False,97,5,84.76
2024-06-02,Sunday,6,Monsoon,356,265,42,48,8,10,Emergency,False,False,81,9,74.44
2024-06-11,Tuesday,6,Monsoon,328,294,75,18,11,5,Cardiology,False,False,85,8,89.63
2022-11-15,Tuesday,11,Autumn,377,346,57,42,5,1,Neurology,False,False,97,8,91.78
2022-10-26,Wednesday,10,Autumn,324,358,50,33,12,9,Emergency,False,True,71,5,110.49
2024-10-29,Tuesday,10,Autumn,314,188,72,15,21,7,Orthopedics,False,False,95,2,59.87
2025-08-23,Saturday,8,Monsoon,305,330,75,50,12,2,ICU,False,False,79,6,108.2
2025-06-20,Friday,6,Monsoon,341,191,36,57,9,6,Orthopedics,False,False,97,5,56.01
2025-02-04,Tuesday,2,Winter,328,295,68,27,5,10,Cardiology,False,False,72,3,89.94
2024-06-10,Monday,6,Monsoon,378,267,68,64,19,9,Cardiology,False,False,81,10,70.63
2025-09-12,Friday,9,Autumn,392,241,22,56,8,12,Pediatrics,False,False,90,9,61.48
2024-02-11,Sunday,2,Winter,303,283,45,19,11,5,Neurology,False,False,94,7,93.4
2025-03-01,Saturday,3,Spring,381,252,32,47,18,3,Neurology,False,False,75,9,66.14
2022-03-18,Friday,3,Spring,356,256,63,28,16,11,Emergency,False,False,74,10,71.91
2022-07-18,Monday,7,Monsoon,348,219,57,30,25,10,Pediatrics,False,False,93,4,62.93
2024-07-15,Monday,7,Monsoon,343,361,41,70,7,11,Neurology,False,False,100,3,105.25
2025-03-14,Friday,3,Spring,379,388,40,46,24,4,Cardiology,True,False,70,2,102.37
2024-11-10,Sunday,11,Autumn,374,314,48,64,22,3,ICU,False,False,92,5,83.96
2024-11-11,Monday,11,Autumn,313,196,64,41,12,1,Pediatrics,False,False,85,1,62.62
2024-02-11,Sunday,2,Winter,302,298,65,49,6,10,Neurology,False,False,77,6,98.68
2025-06-25,Wednesday,6,Monsoon,361,305,58,17,10,11,Orthopedics,False,False,82,2,84.49
2025-07-07,Monday,7,Monsoon,363,357,24,18,11,7,Cardiology,False,False,94,9,98.35
2023-08-10,Thursday,8,Monsoon,344,203,33,21,11,8,Neurology,False,False,83,5,59.01
2024-01-10,Wednesday,1,Winter,381,181,37,27,17,2,Neurology,False,False,80,2,47.51
2022-11-30,Wednesday,11,Autumn,357,271,23,55,5,8,Cardiology,False,False,94,4,75.91
2021-04-23,Friday,4,Spring,319,340,52,17,12,12,ICU,False,False,81,6,106.58
2021-01-02,Saturday,1,Winter,357,328,58,31,17,9,General Medicine,False,False,82,4,91.88
2022-10-04,Tuesday,10,Autumn,388,296,39,61,24,7,General Medicine,False,False,77,5,76.29
2021-08-08,Sunday,8,Monsoon,356,381,32,24,23,11,ICU,False,False,79,4,107.02
2025-05-09,Friday,5,Summer,376,232,55,61,21,1,Cardiology,False,False,100,4,61.7
2023-05-05,Friday,5,Summer,367,225,64,15,17,4,ICU,False,False,72,3,61.31
2025-10-26,Sunday,10,Autumn,377,224,23,42,20,7,ICU,False,False,75,9,59.42
2024-06-02,Sunday,6,Monsoon,396,188,54,68,19,6,General Medicine,False,False,90,3,47.47
2022-01-20,Thursday,1,Winter,391,185,27,67,15,11,Emergency,False,False,88,4,47.31
2024-11-27,Wednesday,11,Autumn,351,230,71,24,16,8,Neurology,False,False,87,8,65.53
2025-07-20,Sunday,7,Monsoon,336,298,59,21,7,6,Cardiology,False,False,87,5,88.69
2024-02-28,Wednesday,2,Winter,307,214,76,53,13,10,Orthopedics,True,False,95,7,69.71
2023-12-13,Wednesday,12,Winter,343,261,68,17,18,6,ICU,False,False,95,6,76.09
2025-09-04,Thursday,9,Autumn,397,360,66,21,11,10,Pediatrics,False,False,95,1,90.68
2022-12-31,Saturday,12,Winter,304,326,55,23,15,6,General Medicine,False,False,89,2,107.24
2025-08-23,Saturday,8,Monsoon,368,376,25,54,14,7,Emergency,False,False,94,10,102.17
2025-09-30,Tuesday,9,Autumn,330,204,75,49,7,5,Pediatrics,False,False,100,5,61.82
2024-12-10,Tuesday,12,Winter,344,318,41,40,23,12,Cardiology,False,False,87,10,92.44
2021-09-04,Saturday,9,Autumn,308,381,79,19,6,11,Pediatrics,False,False,85,3,123.7
2023-04-16,Sunday,4,Spring,331,196,25,27,21,9,ICU,False,False,90,8,59.21
2025-01-02,Thursday,1,Winter,332,215,61,59,6,7,General Medicine,False,False,82,8,64.76
2021-07-22,Thursday,7,Monsoon,366,275,55,44,25,1,ICU,False,False,93,2,75.14
